Number of active threads,Average Book Pickup E0009,Average Bulk Upload Step 1- Create Draft,Average Bulk Upload Step 1- Update Data,Average Bulk Upload Step 1- Upload File,Average Bulk Upload Step 3 - Confirm ,Average Confirm delivery,Average Create Delivery As E0009,Average Create Delivery As Lazada,Average Create delivery - step 1,Average Delivery failed,Average Get available drivers,Average Get merchant id,Average Get orders of page 1,Average Get orders of page 10,Average Get orders of page 11,Average Get orders of page 12,Average Get orders of page 13,Average Get orders of page 14,Average Get orders of page 15,Average Get orders of page 16,Average Get orders of page 17,Average Get orders of page 18,Average Get orders of page 19,Average Get orders of page 2,Average Get orders of page 20,Average Get orders of page 3,Average Get orders of page 4,Average Get orders of page 5,Average Get orders of page 6,Average Get orders of page 7,Average Get orders of page 8,Average Get orders of page 9,Average Get pickup task today,Average Get service type id,Average Get total pages of all orders,Average Get total pages of arrived at hub tab,Average Get total pages of delivery failed tab,Average Get total pages of today pending pickup,Average Get total pages of today unassigned pickup,Average Get user id,Average Login,Average Login API Gateway _ E0009,Average Login API Gateway _ Lazada,Average POD ,Average Print invoice of Dex. The biggest one.,Average Print sticker ,Average Scan enroute to hub,Average Scan out for delivery ,Average Update delivery - before confirm,Average View delivery,Average View invoice details of DEX - summary view - the biggest one,Average View invoice details of DEx - the biggest one,Book Pickup E0009,Bulk Upload Step 1- Create Draft,Bulk Upload Step 1- Update Data,Bulk Upload Step 1- Upload File,Bulk Upload Step 3 - Confirm ,Confirm delivery,Create Delivery As E0009,Create Delivery As Lazada,Create delivery - step 1,Delivery failed,Get available drivers,Get merchant id,Get orders of page 1,Get orders of page 10,Get orders of page 11,Get orders of page 12,Get orders of page 13,Get orders of page 14,Get orders of page 15,Get orders of page 16,Get orders of page 17,Get orders of page 18,Get orders of page 19,Get orders of page 2,Get orders of page 20,Get orders of page 3,Get orders of page 4,Get orders of page 5,Get orders of page 6,Get orders of page 7,Get orders of page 8,Get orders of page 9,Get pickup task today,Get service type id,Get total pages of all orders,Get total pages of arrived at hub tab,Get total pages of delivery failed tab,Get total pages of today pending pickup,Get total pages of today unassigned pickup,Get user id,Login,Login API Gateway _ E0009,Login API Gateway _ Lazada,POD ,Print invoice of Dex. The biggest one.,Print sticker ,Scan enroute to hub,Scan out for delivery ,Update delivery - before confirm,View delivery,View invoice details of DEX - summary view - the biggest one,View invoice details of DEx - the biggest one
1,,,,,,,,,,93.0,,,,,,,,,,,,,,,,,,,,,,,82.0,,,,,,,,,,,92.0,,,100.0,125.0,,,,,,,,,,,,,,93.0,,,,,,,,,,,,,,,,,,,,,,,82.0,,,,,,,,608.0,,,92.0,,,100.0,125.0,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,779.0,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1654.0,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1728.0,,,,,,,,,,910.0,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1808.0,1463.0,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1475.0,,,,,,,,,
7,,,,,,,,,,,498.0,,,,,,,,,,,,,,,,,,,,,,,,1086.0,,,,428.0,,,,,,,,,,,,,,509.0,,,,,,498.0,506.0,,,498.0,191.0,,,,,,,,,,,,,,,,,,,,,,258.0,1086.0,,,,428.0,257.5,427.0,,895.0,,122.0,,,,,,166.0,793.0
8,,759.0,1033.0,869.0,,,,,,,,,990.0,,,,,,,,,,,1437.0,,,,,,,,,,,,852.0,817.0,202.0,,564.5,,,,,,,,,,,,,747.0,759.0,1033.0,869.0,,895.0,1154.0,538.0,714.5,,,533.5,990.0,,,,,,,,,,,1437.0,,,,,,,,,,499.0,,852.0,817.0,202.0,,575.0,943.75,946.5,956.0,,102.5,383.0,,,278.0,591.0,563.5,575.0
9,,,,,,1091.0,,857.6666666666666,,,,,,,,,,,,,,,,,,823.0,1123.0,919.0,1387.0,1029.0,818.0,,,,,,,,,,,,,,,,,,493.5,413.25,,,916.5,,,,,978.0,604.5,935.0,758.0,,,392.0,,,,,,,,,,,,,,823.0,1123.0,919.0,1387.0,1029.0,818.0,,,508.3333333333333,,,,,,439.0,903.25,916.0,978.5,,296.3333333333333,529.0,,,565.3333333333334,331.0,195.5,776.0
10,,,,,,,,,13010.2,,,8296.75,,,,,,,,,,,,,,,,,,,,61662.0,,9718.857142857143,,,,,,,,,,,,,,,,,,,,,,,,1513.0,,1694.0,,,,281.0,,,,,,,,,,,,,,,,,,,,61662.0,,,,,,,,1419.0,1363.6666666666667,1293.0,,,,,,,,400.0,228.0,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16594.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62106.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62782.0
23,,,,,66495.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66495.0,,64212.0,,,,,63860.0,,,,,,,,,,,,,,,,,,,,,,65492.0,,,,,,,,,65813.0,,,64935.0,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64968.5,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61098.0,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61339.0,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62099.0,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61483.0,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61123.0,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62131.0,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62234.0,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62646.0,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62946.0,,,,,,,,,,,
34,,,,,,,,,,,,,,61417.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12676.4,,,,,,,,,,,,,,61417.0,,,,,,,,,,,,,,,,,,,,,,,,,,,62081.0,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61157.0,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7608.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63859.0,,,,69846.0,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69533.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67741.5,,70080.0,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64592.333333333336,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54678.72727272727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64720.666666666664,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62165.666666666664,,,,,,,,,,,
43,16624.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50807.88888888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64484.0,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64984.333333333336,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63532.0,,,,,,,,,,,
46,,,,,,,,,,,,,,,62303.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62303.0,,,,,,,,,,,,,,,,,,,,,,,,,,61988.0,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62164.5,,,,,,,,,,,
48,,,,,,,74160.55555555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65319.0,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71011.0,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73166.2,75710.0,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78537.5625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75272.4,,75868.0,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73035.5,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71374.0,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87015.0,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91584.5,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87906.66666666667,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87685.0,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91867.0,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104774.0,,,,,,,,,,,
66,,,,,,,,,,,,,,,,97957.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97957.0,,,,,,,,,,,,,,,,,,,,,,,,,100107.875,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77034.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83490.33333333333,,,,,,,,,,79765.0,
68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75835.0,,75046.0,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86979.0,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20149.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89206.0,,,,1892.0,,,,,,,21397.0
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138300.0,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129781.0,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93471.375,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86909.16666666667,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,70291.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70291.0,,,,,,,,,,,,,,,,,,,,,,,,73323.0,,88527.0,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67793.0,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66401.23076923077,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100233.0,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85955.0,73660.0,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157821.0,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92247.5,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95145.0,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133961.5,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133588.33333333334,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69607.0,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73679.42857142857,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123445.37051282043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76769.57142857143,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81529.0,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,81705.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1846.0,,,,,,54018.0,,,,,,,,,,,81705.0,,,,,,,,,,,,,,,,,,,,,,,75829.28571428571,,,,1962.0,,,,,,52114.0,2010.0
98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90623.0,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73713.57142857143,,75722.0,,,,,,,,,
102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80619.0,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92971.0,,,,,,,,,,,
104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117505.66666666667,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99162.0,,,,,,,,,,,
106,,,,,,,,,,,,,,,,,,,156916.0,192772.0,172024.0,64170.0,107698.0,,133427.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,38382.0,,,,,,234660.0,,,,,,,,,,,,156916.0,192772.0,172024.0,64170.0,107698.0,,133427.0,,,,,,,,,,,,,,,,148056.45596868874,151168.0,199826.5,,1168.0,,,,,,233382.5,36287.0
